/home/piratejo/code/LLM_Study_Projects/chess_battle/arena_chess/ui.py:237: UserWarning: The parameters have been moved from the Blocks constructor to the launch() method in Gradio 6.0: theme, css. Please pass these parameters to launch() instead.
  with gr.Blocks(title="Alex's LLM Chess Battleground",
/home/piratejo/code/LLM_Study_Projects/chess_battle/.venv/lib/python3.13/site-packages/gradio/components/dataframe.py:192: UserWarning: The `col_count` parameter is deprecated and will be removed. Please use `column_count` instead.
  warnings.warn(
/home/piratejo/code/LLM_Study_Projects/chess_battle/.venv/lib/python3.13/site-packages/gradio/components/dataframe.py:192: UserWarning: The `col_count` parameter is deprecated and will be removed. Please use `column_count` instead.
  warnings.warn(
10:28:19 | httpx | INFO | HTTP Request: HEAD https://huggingface.co/api/telemetry/https%3A/api.gradio.app/gradio-initiated-analytics "HTTP/1.1 200 OK"
10:28:19 | httpx | INFO | HTTP Request: GET http://127.0.0.1:7860/gradio_api/startup-events "HTTP/1.1 200 OK"
10:28:19 | httpx | INFO | HTTP Request: HEAD http://127.0.0.1:7860/ "HTTP/1.1 200 OK"
10:28:20 | httpx | INFO | HTTP Request: HEAD https://huggingface.co/api/telemetry/https%3A/api.gradio.app/gradio-launched-telemetry "HTTP/1.1 200 OK"
10:28:20 | httpx | INFO | HTTP Request: GET https://api.gradio.app/pkg-version "HTTP/1.1 200 OK"
10:28:34 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:28:34 | arena_chess.player | INFO | White (opening—LLM): g1h3
10:28:37 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:28:37 | arena_chess.player | INFO | Black (opening—LLM): b8c6
10:28:41 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:28:41 | arena_chess.player | INFO | White (opening—LLM): e2e3
10:28:44 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:28:44 | arena_chess.player | INFO | Black (opening—LLM): g8h6
10:28:46 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:28:46 | arena_chess.player | INFO | White (opening—LLM): h3g5
10:28:49 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:28:49 | arena_chess.player | INFO | Black (opening—LLM): c6d4
10:28:51 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:28:51 | arena_chess.player | INFO | White (opening—ranked heuristic): e3d4
10:28:55 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:28:55 | arena_chess.player | INFO | Black (middlegame—LLM): h6g8
10:28:58 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:28:58 | arena_chess.player | INFO | White (middlegame—ranked heuristic): g5h7
10:29:02 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:02 | arena_chess.player | INFO | Black (middlegame—LLM): f7f6
10:29:04 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:04 | arena_chess.player | INFO | White (middlegame—ranked heuristic): h7f6
10:29:09 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:09 | arena_chess.player | INFO | Black (middlegame—LLM): g8f6
10:29:12 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:12 | arena_chess.player | INFO | White (middlegame—LLM): f1e2
10:29:15 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:15 | arena_chess.player | INFO | Black (middlegame—LLM): e8f7
10:29:19 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:19 | arena_chess.player | INFO | White (middlegame—LLM): e2g4
10:29:23 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:23 | arena_chess.player | INFO | Black (middlegame—LLM): f6g4
10:29:26 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:26 | arena_chess.player | INFO | White (middlegame—LLM): d1f3
10:29:30 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:30 | arena_chess.player | INFO | Black (middlegame—LLM): f7g8
10:29:32 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:32 | arena_chess.player | INFO | White (middlegame—ranked heuristic): f3f8
10:29:37 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:37 | arena_chess.player | INFO | Black (middlegame—LLM): g8f8
10:29:40 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:40 | arena_chess.player | INFO | White (middlegame—LLM): b1c3
10:29:44 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:44 | arena_chess.player | INFO | Black (middlegame—LLM): g4h6
10:29:46 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:46 | arena_chess.player | INFO | White (middlegame—LLM): c3e4
10:29:50 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:50 | arena_chess.player | INFO | Black (middlegame—LLM): c7c6
10:29:53 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:53 | arena_chess.player | INFO | White (middlegame—LLM): e4f6
10:29:56 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:56 | arena_chess.player | INFO | Black (middlegame—ranked heuristic): g7f6
10:29:59 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:29:59 | arena_chess.player | INFO | White (middlegame—ranked heuristic): e1g1
10:30:04 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:04 | arena_chess.player | INFO | Black (middlegame—LLM): h8g8
10:30:08 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:08 | arena_chess.player | INFO | White (middlegame—ranked heuristic): g1h1
10:30:12 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:12 | arena_chess.player | INFO | Black (middlegame—LLM): g8h8
10:30:15 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:15 | arena_chess.player | INFO | White (middlegame—ranked heuristic): h1g1
10:30:18 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:18 | arena_chess.player | INFO | Black (middlegame—LLM): d8e8
10:30:21 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:21 | arena_chess.player | INFO | White (middlegame—LLM): g2g3
10:30:25 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:25 | arena_chess.player | INFO | Black (middlegame—LLM): e8g6
10:30:28 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:28 | arena_chess.player | INFO | White (middlegame—ranked heuristic): g1g2
10:30:32 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:32 | arena_chess.player | INFO | Black (middlegame—LLM): e7e6
10:30:35 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:35 | arena_chess.player | INFO | White (middlegame—LLM): g2h3
10:30:38 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:38 | arena_chess.player | INFO | Black (middlegame—LLM): g6e4
10:30:41 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:41 | arena_chess.player | INFO | White (middlegame—LLM): g3g4
10:30:45 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:45 | arena_chess.player | INFO | Black (middlegame—LLM): e4f3
10:30:48 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:48 | arena_chess.player | INFO | White (middlegame—salvaged): h3h4
10:30:51 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:30:51 | arena_chess.player | INFO | Black (middlegame—LLM): h6g4
10:31:26 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:26 | arena_chess.player | INFO | White (opening—LLM): g1f3
10:31:30 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:30 | arena_chess.player | INFO | Black (opening—LLM): b8c6
10:31:32 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:32 | arena_chess.player | INFO | White (opening—LLM): f3d4
10:31:36 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:36 | arena_chess.player | INFO | Black (opening—LLM): c6d4
10:31:39 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:39 | arena_chess.player | INFO | White (middlegame—LLM): g2g4
10:31:42 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:42 | arena_chess.player | INFO | Black (middlegame—LLM): g8h6
10:31:45 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:45 | arena_chess.player | INFO | White (middlegame—LLM): f1h3
10:31:48 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:48 | arena_chess.player | INFO | Black (middlegame—LLM): d4c2
10:31:51 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:51 | arena_chess.player | INFO | White (middlegame—LLM): e1f1
10:31:54 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:54 | arena_chess.player | INFO | Black (middlegame—LLM): h6g4
10:31:57 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:31:57 | arena_chess.player | INFO | White (middlegame—LLM): d1c2
10:32:01 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:32:01 | arena_chess.player | INFO | Black (middlegame—LLM): g4e5
10:32:05 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:32:05 | arena_chess.player | INFO | White (middlegame—ranked heuristic): h3d7
10:32:09 | httpx | INFO | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
10:32:09 | arena_chess.player | INFO | Black (middlegame—LLM): e8d7
